颜色,yan se,colour
黄色,huang se,yellow
蓝色,lan se,blue
红色,hong se,red
白色,bai se,white
黑色,hei se,black
绿色,lu se,green
紫色,zi se,purple
棕色,zong se,brown
灰色,huī sè,grey
橙子,chéngzi,orange
穿,chuān,wear (clothes)
戴,dài,wear (accessories)
格子,gé zi,checkered
皮,pí,leather
条子,tiáo zi,stripe
短,duǎn,short
长,cháng,long
衣,yī,clothes
衬衫,chèn shān,shirt
汗衫,hàn shān,t-shirt
袖,xiù,sleeve
大衣,dà yī,overcoat
毛衣,mào yi,woolen sweater
外套,wai tao,outer garments
裤,kù,leg clothes
牛仔裤,niú zǎi kù,jeans
裙子,qún,skirt
鞋,xié,shoe
运动鞋,yùn dòng xié,sports shoes 
袜子,wà zi,socks
校服,xiao fu,school unifrom
连衣裙,lian yi qun,dress
西装,xi zhuang,suit
套装,tao zhuang,women‘s suit
带,dai,belt
领带,ling dai,tie (clothing)
帽子,mao zi,hat
围巾,wei jin,scarf
手套,shou tao,gloves
运动,yun dong,sports
领,ling,neck
小姐,xiao jie,miss
脚,jiao,foot
呢子,ni zi,woolen cloth