中式,zhōng shì,chinese Style
西式,xī shì,western Style
早餐,zǎo cān,breakfast
粥,zhōu,congee
面条,miàn tiáo,noodles
包子,bāo zi,stuffed steam bun
油条,yóu tiáo,fried long donut
油,yóu,oil
条,tiáo,long skinny thing
豆浆,dòu jiāng,soy milk
点心,diǎn xīn,dim sum/dessert pastry
牛奶,niú nǎi,cow milk
面包,miàn bāo,bread
鸡蛋,jī dàn,chicken egg
桔子,jú zi,orange
汁,zhī,juice
咖啡,kā fēi,coffee
糖,táng,sugar
黄油,huáng yóu,butter
果酱,guǒ jiàng,jam
自助餐,zì zhù cān,buffet
羊肉,yáng ròu,lamb
快餐,kuài cān,fast food
餐厅,cān tīng,cafeteria
菜单,cài dān,menu
猪排,zhū pái,pork chop
三文鱼,sān wèn yú,salmon
寿司,shòu sī,sushi
龙虾,lóng xiā,lobster
生菜,shēng cài,lettuce
沙拉,shā lā,salad
三明治,sān míng zhì,sandwich
甜食,tián shí,sweet food
高点,gāo diǎn,cake
市场,shì chǎng,market
蔬菜,shū cài,vegetables
新鲜,xīn xiān,fresh
常见,cháng jiàn,common
土豆,tǔ dòu,potato
四季豆,sì jì dòu,green beens
南瓜,nán guā,pumpkin
黄瓜,huáng guā,cucumber
卷心菜,juǎn xīn cài,cabbage
菜花,cài huā,cauliflower
西红柿,xī hóng shì,tomato
胡萝卜,hú luó bo,carrot
水果,shuǐ guǒ,fruit
梨,lí,pear
葡萄,pú táo,grapes
香蕉,xiāng jiāo,banana
桃子,táo zi,peach
李子,lǐ zǐ,plumb
草莓,cǎo méi,strawberry
桔子,jú zi,orange
苹果,píng guǒ,apple
零食,líng shí,snack
一天到晚,yī tiān dào wǎn,from night to day
玉米片,yù mǐ piàn,corn chips
香肠,xiāng cháng,sausage
盒饭,hé fàn,box meal
火腿,huǒ tuǐ,ham
鸡腿,jī tuǐ,chicken legs
奶酪,nǎi lào,cheese
可乐,kě lè,coke
薯条,shǔ tiáo,fries
巧克力,qiǎo kè lì,chocolate
饼干,bǐng gān,cookie
糖果,táng guǒ,candy
极,jí,extreme
超级,chāo jí,super
市场,shì chǎng,market
越,yuè,jump over
差,chà,not good
需要,xū yào,require
营养,yíng yǎng,nutrition
得到,dé dào,get
食物,shí wù,food
主食,zhǔ shí,staple food
含,hán,contain
碳水化合物,tàn shuǐ huà hé wù,carbohydrate
维他命,wéi tā mìng,vitamin
蛋白质,dàn bái zhí,protein
糕饼,gāo bǐng,cake
大量,dà liàng,a large quantity